date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2008-07-01,23,15,0.0,14.5,5,5,4,03:16 AM,07:39 PM,05:20 AM,08:29 PM,13,19,20,19,27,6,69,0.0,1015,23,10,216,13
2008-07-02,26,18,0.0,14.5,6,6,0,04:22 AM,08:37 PM,05:20 AM,08:29 PM,17,22,23,22,42,24,76,11.6,1009,26,9,217,20
2008-07-03,18,15,0.0,14.5,5,5,0,05:39 AM,09:24 PM,05:21 AM,08:29 PM,13,17,17,17,30,20,80,0.4,1016,18,10,17,21
2008-07-04,20,14,0.0,14.5,5,5,3,06:58 AM,10:00 PM,05:21 AM,08:29 PM,13,17,18,17,18,9,76,0.0,1018,20,10,55,10
2008-07-05,22,15,0.0,14.5,5,5,10,08:16 AM,10:28 PM,05:22 AM,08:28 PM,15,20,21,20,14,0,74,0.0,1017,22,10,87,8
2008-07-06,25,16,0.0,14.5,6,6,17,09:31 AM,10:52 PM,05:23 AM,08:28 PM,17,21,22,21,27,12,77,0.3,1014,25,10,179,14
2008-07-07,25,20,0.0,13.5,6,6,25,10:40 AM,11:14 PM,05:23 AM,08:28 PM,20,24,24,22,33,38,87,1.2,1012,25,8,195,16
2008-07-08,24,21,0.0,14.5,6,6,32,11:47 AM,11:35 PM,05:24 AM,08:27 PM,20,22,24,22,30,38,89,1.2,1010,24,9,223,15
2008-07-09,23,18,0.0,14.5,6,6,39,12:52 PM,11:55 PM,05:25 AM,08:27 PM,16,22,22,22,18,7,73,0.0,1014,23,10,302,9
2008-07-10,25,19,0.0,14.5,6,6,47,01:56 PM,No moonset,05:26 AM,08:26 PM,17,22,23,22,30,32,73,0.0,1016,25,10,208,15
2008-07-11,26,19,0.0,14.5,6,6,54,02:59 PM,12:18 AM,05:26 AM,08:26 PM,19,24,24,23,27,14,78,0.3,1015,26,10,166,14
2008-07-12,25,20,0.0,13.5,6,6,61,04:03 PM,12:44 AM,05:27 AM,08:25 PM,19,22,23,22,26,35,84,9.3,1012,25,9,228,14
2008-07-13,23,17,0.0,14.5,6,6,68,05:05 PM,01:16 AM,05:28 AM,08:25 PM,14,20,21,20,33,7,66,0.0,1010,23,10,256,19
2008-07-14,23,18,0.0,14.5,6,6,76,06:03 PM,01:53 AM,05:29 AM,08:24 PM,16,21,22,21,18,9,72,0.0,1013,23,10,206,9
2008-07-15,27,18,0.0,14.5,6,6,83,06:56 PM,02:38 AM,05:29 AM,08:23 PM,18,24,24,23,26,4,75,0.0,1016,27,10,196,13
2008-07-16,27,21,0.0,14.5,6,6,90,07:41 PM,03:31 AM,05:30 AM,08:23 PM,20,26,26,24,21,7,79,0.0,1019,27,10,216,10
2008-07-17,27,20,0.0,14.5,6,6,97,08:19 PM,04:31 AM,05:31 AM,08:22 PM,19,26,26,24,28,17,76,0.0,1018,27,10,208,14
2008-07-18,24,21,0.0,14.5,6,6,100,08:51 PM,05:36 AM,05:32 AM,08:21 PM,19,25,25,23,21,24,80,0.2,1015,24,10,214,10
2008-07-19,23,20,0.0,11.4,5,5,88,09:18 PM,06:42 AM,05:33 AM,08:21 PM,20,22,24,22,12,57,92,6.0,1013,23,7,201,6
2008-07-20,25,20,0.0,14.5,6,6,81,09:41 PM,07:49 AM,05:34 AM,08:20 PM,21,25,25,23,12,12,86,0.0,1012,25,9,213,7
2008-07-21,24,19,0.0,14.5,6,6,73,10:03 PM,08:56 AM,05:35 AM,08:19 PM,20,22,24,22,18,21,87,0.0,1013,24,10,228,10
2008-07-22,22,18,0.0,14.5,5,5,66,10:24 PM,10:03 AM,05:36 AM,08:18 PM,16,20,21,20,16,21,79,0.0,1015,22,10,30,11
2008-07-23,23,17,0.0,14.5,5,5,59,10:46 PM,11:12 AM,05:36 AM,08:17 PM,15,20,22,20,19,5,74,0.0,1019,23,10,140,12
